"","X1","Team","Year","Wins","Draft_Score","Wins_Percentile","Score_Percentile"
"1",1,"Atlanta Hawks",2011,40,51.1,0.471571906354515,0.859531772575251
"2",2,"Atlanta Hawks",2012,44,31.5,0.588628762541806,0.625418060200669
"3",3,"Atlanta Hawks",2013,38,9.8,0.424749163879599,0.160535117056856
"4",4,"Atlanta Hawks",2014,60,10.2,0.966555183946488,0.173913043478261
"5",5,"Atlanta Hawks",2015,48,14.5,0.702341137123746,0.270903010033445
"6",6,"Atlanta Hawks",2016,43,20.8,0.561872909698997,0.418060200668896
"7",7,"Atlanta Hawks",2017,24,26,0.130434782608696,0.538461538461538
"8",8,"Atlanta Hawks",2018,29,24.2,0.214046822742475,0.478260869565217
"9",9,"Atlanta Hawks",2019,20,19.5,0.0501672240802676,0.37123745819398
"10",10,"Atlanta Hawks",2020,46.6944444444444,38.2,0.668896321070234,0.719063545150502
"11",11,"Boston Celtics",2011,39,33.5,0.451505016722408,0.652173913043478
"12",12,"Boston Celtics",2012,41,19.6,0.491638795986622,0.374581939799331
"13",13,"Boston Celtics",2013,25,10.6,0.1438127090301,0.193979933110368
"14",14,"Boston Celtics",2014,40,14,0.471571906354515,0.267558528428094
"15",15,"Boston Celtics",2015,48,17.8,0.702341137123746,0.324414715719064
"16",16,"Boston Celtics",2016,53,30.5,0.839464882943144,0.608695652173913
"17",17,"Boston Celtics",2017,55,40.4,0.88628762541806,0.755852842809365
"18",18,"Boston Celtics",2018,49,61.7,0.752508361204013,0.923076923076923
"19",19,"Boston Celtics",2019,48,79.7,0.702341137123746,0.983277591973244
"20",20,"Boston Celtics",2020,41,71.1,0.491638795986622,0.966555183946488
"21",21,"Brooklyn Nets",2011,22,28.8,0.0903010033444816,0.585284280936455
"22",22,"Brooklyn Nets",2012,49,44.6,0.752508361204013,0.79933110367893
"23",23,"Brooklyn Nets",2013,44,47.9,0.588628762541806,0.822742474916388
"24",24,"Brooklyn Nets",2014,38,37.7,0.424749163879599,0.712374581939799
"25",25,"Brooklyn Nets",2015,21,24.3,0.0668896321070234,0.488294314381271
"26",26,"Brooklyn Nets",2016,20,5.3,0.0501672240802676,0.0501672240802676
"27",27,"Brooklyn Nets",2017,28,5.2,0.197324414715719,0.040133779264214
"28",28,"Brooklyn Nets",2018,42,5.4,0.531772575250836,0.0535117056856187
"29",29,"Brooklyn Nets",2019,35,7.4,0.351170568561873,0.103678929765886
"30",30,"Brooklyn Nets",2020,54.6666666666667,10.5,0.882943143812709,0.190635451505017
"31",31,"Charlotte Hornets",2011,50,51.4,0.782608695652174,0.862876254180602
"32",32,"Charlotte Hornets",2012,45,33.5,0.62876254180602,0.652173913043478
"33",33,"Charlotte Hornets",2013,48,30.7,0.702341137123746,0.612040133779264
"34",34,"Charlotte Hornets",2014,50,39.6,0.782608695652174,0.735785953177257
"35",35,"Charlotte Hornets",2015,42,53.7,0.531772575250836,0.872909698996655
"36",36,"Charlotte Hornets",2016,41,62.7,0.491638795986622,0.933110367892977
"37",37,"Charlotte Hornets",2017,27,54.1,0.183946488294314,0.879598662207358
"38",38,"Charlotte Hornets",2018,22,35.9,0.0903010033444816,0.692307692307692
"39",39,"Charlotte Hornets",2019,22,27.2,0.0903010033444816,0.551839464882943
"40",40,"Charlotte Hornets",2020,35.3055555555556,25.2,0.367892976588629,0.518394648829431
"41",41,"Chicago Bulls",2011,7,36.8,0,0.702341137123746
"42",42,"Chicago Bulls",2012,21,19.4,0.0668896321070234,0.367892976588629
"43",43,"Chicago Bulls",2013,43,18.4,0.561872909698997,0.341137123745819
"44",44,"Chicago Bulls",2014,33,18.6,0.287625418060201,0.351170568561873
"45",45,"Chicago Bulls",2015,48,16,0.702341137123746,0.287625418060201
"46",46,"Chicago Bulls",2016,36,20.5,0.377926421404682,0.40133779264214
"47",47,"Chicago Bulls",2017,36,22.2,0.377926421404682,0.448160535117057
"48",48,"Chicago Bulls",2018,39,25.7,0.451505016722408,0.535117056856187
"49",49,"Chicago Bulls",2019,23,24.9,0.110367892976589,0.508361204013378
"50",50,"Chicago Bulls",2020,37.5833333333333,31.9,0.418060200668896,0.632107023411371
"51",51,"Cleveland Cavaliers",2011,21,10.4,0.0668896321070234,0.180602006688963
"52",52,"Cleveland Cavaliers",2012,24,8.7,0.130434782608696,0.127090301003344
"53",53,"Cleveland Cavaliers",2013,33,19.3,0.287625418060201,0.364548494983278
"54",54,"Cleveland Cavaliers",2014,53,35.5,0.839464882943144,0.682274247491639
"55",55,"Cleveland Cavaliers",2015,57,45.9,0.929765886287625,0.809364548494983
"56",56,"Cleveland Cavaliers",2016,51,42.4,0.806020066889632,0.782608695652174
"57",57,"Cleveland Cavaliers",2017,50,24.8,0.782608695652174,0.505016722408027
"58",58,"Cleveland Cavaliers",2018,19,8.7,0.0301003344481605,0.127090301003344
"59",59,"Cleveland Cavaliers",2019,19,3.7,0.0301003344481605,0.0133779264214047
"60",60,"Cleveland Cavaliers",2020,25.0555555555556,8.2,0.167224080267559,0.117056856187291
"61",61,"Dallas Mavericks",2011,36,5.5,0.377926421404682,0.0635451505016722
"62",62,"Dallas Mavericks",2012,41,4.6,0.491638795986622,0.0234113712374582
"63",63,"Dallas Mavericks",2013,49,5.6,0.752508361204013,0.0702341137123746
"64",64,"Dallas Mavericks",2014,50,9.4,0.782608695652174,0.150501672240803
"65",65,"Dallas Mavericks",2015,42,15.6,0.531772575250836,0.277591973244147
"66",66,"Dallas Mavericks",2016,33,17.7,0.287625418060201,0.321070234113712
"67",67,"Dallas Mavericks",2017,24,16,0.130434782608696,0.287625418060201
"68",68,"Dallas Mavericks",2018,33,9.9,0.287625418060201,0.163879598662207
"69",69,"Dallas Mavericks",2019,43,9.6,0.561872909698997,0.157190635451505
"70",70,"Dallas Mavericks",2020,47.8333333333333,24.1,0.692307692307692,0.474916387959866
"71",71,"Denver Nuggets",2011,38,0.6,0.424749163879599,0
"72",72,"Denver Nuggets",2012,57,0.6,0.929765886287625,0
"73",73,"Denver Nuggets",2013,36,2.6,0.377926421404682,0.00668896321070234
"74",74,"Denver Nuggets",2014,30,8,0.240802675585284,0.11371237458194
"75",75,"Denver Nuggets",2015,33,11.5,0.287625418060201,0.230769230769231
"76",76,"Denver Nuggets",2016,40,17.9,0.471571906354515,0.337792642140468
"77",77,"Denver Nuggets",2017,46,29.1,0.655518394648829,0.588628762541806
"78",78,"Denver Nuggets",2018,54,50.2,0.866220735785953,0.846153846153846
"79",79,"Denver Nuggets",2019,46,61.9,0.655518394648829,0.926421404682274
"80",80,"Denver Nuggets",2020,53.5277777777778,59,0.859531772575251,0.906354515050167
"81",81,"Detroit Pistons",2011,25,16.8,0.1438127090301,0.301003344481605
"82",82,"Detroit Pistons",2012,29,28.7,0.214046822742475,0.575250836120401
