"","Season","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020Fixed","var1"
"1","ATL",30,37,47,53,44,40,44,38,60,48,43,24,29,20,46.6944444444444,NA
"2","BOS",24,66,62,50,56,39,41,25,40,48,53,55,49,48,41,NA
"3","BRK",41,34,34,12,24,22,49,44,38,21,20,28,42,35,54.6666666666667,NA
"4","CHI",49,33,41,41,62,50,45,48,50,42,41,27,22,22,35.3055555555556,NA
"5","CHO",33,32,35,44,34,7,21,43,33,48,36,36,39,23,37.5833333333333,NA
"6","CLE",50,45,66,61,19,21,24,33,53,57,51,50,19,19,25.0555555555556,NA
"7","DAL",67,51,50,55,57,36,41,49,50,42,33,24,33,43,47.8333333333333,NA
"8","DEN",45,50,54,53,50,38,57,36,30,33,40,46,54,46,53.5277777777778,NA
"9","DET",53,59,39,27,30,25,29,29,32,44,37,39,41,20,22.7777777777778,NA
"10","GSW",42,48,29,26,36,23,47,51,67,73,67,58,57,15,44.4166666666667,NA
"11","HOU",52,55,53,42,43,34,45,54,56,41,55,65,53,44,19.3611111111111,NA
"12","IND",35,36,36,32,37,42,49,56,38,45,42,48,48,45,38.7222222222222,NA
"13","LAC",40,23,19,29,32,40,56,57,56,53,51,42,48,49,53.5277777777778,NA
"14","LAL",42,57,65,57,57,41,45,27,21,17,26,35,37,52,47.8333333333333,NA
"15","MEM",22,22,24,40,46,41,56,50,55,42,43,22,33,34,43.2777777777778,NA
"16","MIA",44,15,43,47,58,46,66,54,37,48,41,44,39,44,45.5555555555556,NA
"17","MIL",28,26,34,46,35,31,38,15,41,33,42,44,60,56,52.3888888888889,NA
"18","MIN",32,22,24,15,17,26,31,40,16,29,31,47,36,19,26.1944444444444,NA
"19","NOP",39,56,49,37,46,21,27,34,45,30,34,48,33,30,35.3055555555556,NA
"20","NYK",33,23,32,29,42,36,54,37,17,32,31,29,17,21,46.6944444444444,NA
"21","OKC",31,20,23,50,55,47,60,59,45,55,47,48,49,44,25.0555555555556,NA
"22","ORL",40,52,59,59,52,37,20,23,25,35,29,25,42,33,23.9166666666667,NA
"23","PHI",35,40,41,27,41,35,34,19,18,10,28,52,51,43,55.8055555555556,NA
"24","PHO",61,55,46,54,40,33,25,48,39,23,24,21,19,34,58.0833333333333,NA
"25","POR",32,41,54,50,48,28,33,54,51,44,41,49,53,35,47.8333333333333,NA
"26","SAC",33,38,17,25,24,22,28,28,29,33,32,27,39,31,35.3055555555556,NA
"27","SAS",58,56,54,50,61,50,58,62,55,67,61,47,48,32,37.5833333333333,NA
"28","TOR",47,41,33,40,22,23,34,48,49,56,51,59,58,53,30.75,NA
"29","UTA",51,54,48,53,39,36,43,25,38,40,51,48,50,44,59.2222222222222,NA
"30","WAS",41,43,19,26,23,20,29,44,46,41,49,43,32,25,38.7222222222222,NA
